Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,y_labels
1,302.60079776089685,311.1622748562125,1365,46.333736339303215,38,0,Heat Dissipation Failure
1,301.9486119761177,309.93888958089417,1374,48.76250467103573,178,0,Heat Dissipation Failure
1,302.4886874625018,310.215083383331,1329,50.69804199165127,148,0,Heat Dissipation Failure
1,303.2653602952535,311.53072059050703,1308,48.25221313192944,222,0,Heat Dissipation Failure
1,303.3676318402802,311.7352636805604,1338,48.165253749912175,212,0,Heat Dissipation Failure
1,302.7352830803231,310.8978841804385,1306,59.38568748078471,206,0,Heat Dissipation Failure
1,302.845828862802,310.77082503091805,1271,66.38337676135173,200,0,Heat Dissipation Failure
1,301.7,310.2,1320,59.20618403404479,43,0,Heat Dissipation Failure
1,302.07796695942494,310.62245869928114,1371,52.00803690934473,127,0,Heat Dissipation Failure
1,302.3484915128427,310.82273726926405,1348,46.69234760230882,151,0,Heat Dissipation Failure
1,302.54608190720484,310.36807020617556,1272,65.55719350498504,197,0,Heat Dissipation Failure
1,302.8685206561219,311.08950688537396,1368,47.6576069934255,30,0,Heat Dissipation Failure
1,302.2179862653927,310.33640274692146,1372,51.382013734607284,159,0,Heat Dissipation Failure
1,303.4,311.4202802021294,1306,54.40154800216247,44,0,Heat Dissipation Failure
1,302.84529356744457,311.4008990714119,1373,54.733183488098014,118,0,Heat Dissipation Failure
1,302.2469436196211,310.1714342228913,1358,45.68777447848445,7,0,Heat Dissipation Failure
0,302.90162276274884,311.0262170720616,1295,56.46696732439305,38,0,Heat Dissipation Failure
0,302.44067348911807,310.84067348911805,1365,59.46891163039352,96,0,Heat Dissipation Failure
1,303.0281303106283,310.9706345591309,1318,58.33276204903145,89,0,Heat Dissipation Failure
1,302.08943028933186,310.6048726039868,1292,61.860944755925104,105,0,Heat Dissipation Failure
2,303.4099209122172,311.6099209122172,1229,61.002587822625216,185,0,Heat Dissipation Failure
1,302.97255875367125,311.23962925807683,1334,53.43535252202764,163,0,Heat Dissipation Failure
1,303.24987923947305,311.1855417706758,1306,54.25734987518899,38,0,Heat Dissipation Failure
1,302.38516817884516,310.2296636423096,1350,45.344725049054304,167,0,Heat Dissipation Failure
1,302.4240177112013,310.3,1327,57.631630985158,55,0,Heat Dissipation Failure
1,302.9390724791849,311.07814495836976,1371,49.57086921834005,65,0,Heat Dissipation Failure
2,302.2007410124066,310.59629493796695,1345,49.225935434231545,134,0,Heat Dissipation Failure
1,302.78854586069883,310.8488491166426,1354,53.75345265007219,191,0,Heat Dissipation Failure
2,302.75698086599954,310.5823056953327,1260,67.73668792666714,193,0,Heat Dissipation Failure
1,302.20766116989904,310.1595764623738,1295,57.080847075252336,202,0,Heat Dissipation Failure
1,302.43777053324806,310.853327899936,1329,57.242262067135805,95,0,Heat Dissipation Failure
0,303.1691415704543,311.6829698845451,1370,56.92663551954695,103,0,Heat Dissipation Failure
1,302.09118229895836,310.43823645979165,1370,49.405812412499735,149,0,Heat Dissipation Failure
1,303.58691161450867,311.98691161450864,1309,52.769116145086564,84,0,Heat Dissipation Failure
1,302.14569374049273,310.3432117175616,1348,53.3951850766265,65,0,Heat Dissipation Failure
1,302.4689445062003,310.9305903163752,1327,49.06615344165285,204,0,Heat Dissipation Failure
1,302.2553885692875,310.54310855429986,1374,50.32606290638793,24,0,Heat Dissipation Failure
1,303.0648183139602,311.46481831396017,1349,51.99812645344677,96,0,Heat Dissipation Failure
1,303.3470505078992,311.8470505078992,1307,62.89395965008542,49,0,Heat Dissipation Failure
1,302.4808129765682,310.88560973242613,1329,57.00552862887485,96,0,Heat Dissipation Failure
1,302.4,310.65281927440304,1363,54.37537346962771,155,0,Heat Dissipation Failure
1,302.66663629134945,310.8555150551326,1368,50.36613509861559,144,0,Heat Dissipation Failure
1,303.0,311.1177887297015,1360,46.20240840492499,109,0,Heat Dissipation Failure
1,302.79743146193056,310.6809441435854,1268,66.85352294124569,199,0,Heat Dissipation Failure
1,302.49728972161387,310.29966121520175,1325,58.496273367219096,54,0,Heat Dissipation Failure
1,301.97170306555057,310.3,1337,52.46232074914914,61,0,Heat Dissipation Failure
1,301.64550323856,310.10458603213334,1337,59.44073866503993,110,0,Heat Dissipation Failure
1,303.3908860168758,311.4512082048307,1360,47.303475693914315,61,0,Heat Dissipation Failure
1,302.0635549761546,310.6271099523092,1324,45.455338982492776,206,0,Heat Dissipation Failure
1,302.8774661459657,310.99145711822325,1318,56.62975503372489,228,0,Heat Dissipation Failure
1,302.40459361429174,310.32505297572095,1366,50.5974912899703,15,0,Heat Dissipation Failure
2,302.35445238848644,310.2452063692972,1322,52.57294442686496,137,0,Heat Dissipation Failure
1,303.2776292592458,311.57063840276015,1300,45.385226944615845,219,0,Heat Dissipation Failure
1,302.57718054684784,310.3597361720652,1326,61.14493007663029,93,0,Heat Dissipation Failure
1,301.88747582812834,309.9624827343774,1335,60.26270373434703,182,0,Heat Dissipation Failure
0,302.198411513401,310.45274643235456,1268,58.43395194671583,23,0,Heat Dissipation Failure
1,302.581180001832,310.981180001832,1366,59.153100082440616,94,0,Heat Dissipation Failure
1,301.7,310.2,1325,60.11594361162466,45,0,Heat Dissipation Failure
1,302.61925864210804,310.96685131184455,1334,53.40962932105402,161,0,Heat Dissipation Failure
1,302.2593502628897,310.65935026288975,1345,47.58217728707806,108,0,Heat Dissipation Failure
1,303.2279134910005,311.2289729422734,1360,48.503546111723715,61,0,Heat Dissipation Failure
1,302.4,310.7121521327439,1349,45.83164590391989,153,0,Heat Dissipation Failure
0,301.61972411164646,310.11972411164646,1270,63.416606954377784,20,0,Heat Dissipation Failure
1,302.578708409016,310.738277878688,1369,48.82739715778023,144,0,Heat Dissipation Failure
1,302.9896756566801,311.16171768816906,1358,52.81484693549288,194,0,Heat Dissipation Failure
2,302.95015529772115,311.17863798473763,1373,47.90093178632683,65,0,Heat Dissipation Failure
1,302.5792124225582,310.39934368546517,1351,42.4643316759298,9,0,Heat Dissipation Failure
1,301.89464154238635,310.2243301927983,1329,60.54308479444599,48,0,Heat Dissipation Failure
1,302.7196703014456,310.72950545216844,1345,55.56679939057195,187,0,Heat Dissipation Failure
1,303.424816791407,311.78380776853805,1344,50.19536366597135,93,0,Heat Dissipation Failure
1,302.731431010684,310.75388173260114,1369,47.23508148137755,12,0,Heat Dissipation Failure
1,302.11231648394624,310.57371348686513,1369,52.568567434325644,151,0,Heat Dissipation Failure
1,302.4,310.3,1374,51.3524353009308,162,0,Heat Dissipation Failure
1,302.36663124673083,310.3,1328,56.97578567692348,56,0,Heat Dissipation Failure
1,301.65785213665345,310.1546381290616,1325,48.28677820498018,76,0,Heat Dissipation Failure
1,302.72125785922947,311.2734687931349,1367,45.62024191071772,37,0,Heat Dissipation Failure
1,302.5182191881538,310.536301353077,1359,53.601644278766564,67,0,Heat Dissipation Failure
1,302.4189949198529,310.80778172274154,1373,47.74050254007355,68,0,Heat Dissipation Failure
1,302.6971949381783,310.96032129057437,1330,55.04588813754377,196,0,Heat Dissipation Failure
1,302.55446074634676,310.7772303731734,1351,46.98462033533276,125,0,Heat Dissipation Failure
1,302.33259921231075,310.69944940923307,1348,47.516574901538846,108,0,Heat Dissipation Failure
1,303.46947585873687,311.57665800962235,1360,46.57182150885446,62,0,Heat Dissipation Failure
1,303.14600561417484,311.64600561417484,1316,61.92300280708743,42,0,Heat Dissipation Failure
1,302.8356846893811,310.8713693787621,1367,51.89709448892642,65,0,Heat Dissipation Failure
1,302.3108897592205,310.7361825302713,1368,53.38091265135675,150,0,Heat Dissipation Failure
1,303.230960228563,311.3847681828504,1367,47.414735222885895,63,0,Heat Dissipation Failure
1,302.82706023999657,311.128404474283,1373,47.53646988000172,64,0,Heat Dissipation Failure
1,302.2929446200095,310.6813265425084,1348,50.01326542508324,135,0,Heat Dissipation Failure
1,303.3444981475795,311.8444981475795,1307,62.84546480400995,49,0,Heat Dissipation Failure
0,301.9744251422547,310.4744251422547,1270,63.9,31,0,Heat Dissipation Failure
1,302.0940176063301,310.6521408506408,1323,45.847799208736795,207,0,Heat Dissipation Failure
1,303.09069314947163,311.5382788187837,1349,46.83345015740781,210,0,Heat Dissipation Failure
1,302.2219884142722,310.6192398624882,1334,53.2109942071361,159,0,Heat Dissipation Failure
1,301.91877803487006,310.39624439302594,1370,51.68122196512991,153,0,Heat Dissipation Failure
1,302.8995932226265,310.6851331751807,1305,54.857840189783154,26,0,Heat Dissipation Failure
1,302.3241196720255,310.18045774133617,1310,52.866548997497574,84,0,Heat Dissipation Failure
1,302.987729953957,311.28996087141934,1365,56.14980435709676,146,0,Heat Dissipation Failure
1,302.93344169672906,311.07883713487684,1362,47.33004689864044,31,0,Heat Dissipation Failure
1,302.7891016148316,310.8497136230714,1346,52.49808546651548,194,0,Heat Dissipation Failure
1,302.2151288622923,310.1,1358,54.877306706561484,63,0,Heat Dissipation Failure
1,302.25270103364477,310.20180068909656,1376,50.38871481557526,163,0,Heat Dissipation Failure
1,302.9214726804755,311.255127245986,1365,55.32498129672699,144,0,Heat Dissipation Failure
1,302.37750316813964,310.8081273761047,1328,57.573732575232036,94,0,Heat Dissipation Failure
1,302.4210741860188,310.1605370930094,1325,51.42872104680267,142,0,Heat Dissipation Failure
1,302.32550621221753,310.3489875755648,1346,56.850212810209584,107,0,Heat Dissipation Failure
1,302.1,310.4265585115949,1377,47.16589804661612,189,0,Heat Dissipation Failure
1,303.4406627030461,311.6760709912581,1235,65.72004720953457,143,0,Heat Dissipation Failure
0,302.6195995395504,310.465999232584,1376,50.87639585595366,110,0,Heat Dissipation Failure
1,302.85433887235814,311.15433887235815,1333,53.01735548943263,160,0,Heat Dissipation Failure
1,303.03760188418823,311.2966557444834,1324,52.8565246782846,225,0,Heat Dissipation Failure
1,302.7,310.5486894679884,1355,43.18764983767045,10,0,Heat Dissipation Failure
1,303.3221026328184,311.64420526563686,1334,49.80430521853645,217,0,Heat Dissipation Failure
2,302.9357977773505,311.2814786664103,1368,46.09813266525659,62,0,Heat Dissipation Failure
1,302.0580136336653,310.16297954950204,1377,48.9347614108572,163,0,Heat Dissipation Failure
1,302.7313822369268,310.98661260974785,1334,55.25647620561839,168,0,Heat Dissipation Failure
1,302.7,310.6027181802018,1360,44.727468135750804,10,0,Heat Dissipation Failure
1,302.7123750190887,310.9899000152709,1332,52.13485002290641,158,0,Heat Dissipation Failure
1,302.358552384512,310.80241269247995,1359,46.57630491852808,67,0,Heat Dissipation Failure
1,303.3172995477493,311.70075945729917,1339,48.108186060159106,208,0,Heat Dissipation Failure
1,302.34401283734394,310.3,1329,56.71728956964476,57,0,Heat Dissipation Failure
1,302.39159487412013,310.8542025629399,1376,48.88782306645944,28,0,Heat Dissipation Failure
1,303.0260219628273,310.96802928376974,1359,52.13507221971962,64,0,Heat Dissipation Failure
0,303.0515463609731,311.54185563316764,1369,57.561649650745494,101,0,Heat Dissipation Failure
1,302.0363112806174,310.24203891007716,1328,60.06494942791637,50,0,Heat Dissipation Failure
1,301.6245690199258,310.1245690199258,1327,48.48254372914626,75,0,Heat Dissipation Failure
1,302.0454778709101,310.49257682694275,1375,54.82064843404903,124,0,Heat Dissipation Failure
1,302.5548923928175,310.2,1316,58.61096099667118,89,0,Heat Dissipation Failure
1,302.9846337492653,311.1877069994122,1360,47.759809007641124,106,0,Heat Dissipation Failure
1,301.95437694742856,310.2837994251429,1265,60.1046501291427,22,0,Heat Dissipation Failure
1,302.73052901362104,310.92743224490897,1316,56.83540653054619,45,0,Heat Dissipation Failure
1,302.36534114454116,310.8768940963608,1295,61.64820009046671,111,0,Heat Dissipation Failure
1,302.6164697163802,310.92106888464014,1373,48.13026722116004,67,0,Heat Dissipation Failure
1,302.1311135987096,310.19274389169885,1372,48.8697817579354,183,0,Heat Dissipation Failure
1,303.1525745691465,311.04653509878074,1306,54.424157881463124,35,0,Heat Dissipation Failure
1,303.2625528956331,311.6625528956331,1344,48.97122708626121,95,0,Heat Dissipation Failure
2,302.4501047961393,310.1750523980697,1327,51.12389964053683,144,0,Heat Dissipation Failure
1,302.70345256795764,310.7051788519364,1344,54.2522809668433,181,0,Heat Dissipation Failure
1,302.2870313699856,310.68703136998556,1348,49.82083653294837,106,0,Heat Dissipation Failure
1,302.07606720054696,310.57606720054696,1326,58.57826497192343,87,0,Heat Dissipation Failure
1,302.46314401023636,310.8184279948818,1374,48.56585195393635,24,0,Heat Dissipation Failure
1,302.857551783395,311.0985586878477,1336,58.038855006494,185,0,Heat Dissipation Failure
1,302.43193884510055,310.8319388451005,1353,53.68503586934805,102,0,Heat Dissipation Failure
1,302.9157583403175,311.15670093135805,1335,52.722827773121665,169,0,Heat Dissipation Failure
1,302.5799863469636,311.1061422935846,1330,45.80151850710063,208,0,Heat Dissipation Failure
1,302.258756177215,310.5700494177198,1374,50.24860792405546,24,0,Heat Dissipation Failure
1,302.24141954168175,310.70606465626133,1327,58.322192520750455,91,0,Heat Dissipation Failure
1,302.5833422062759,310.87632279442835,1361,50.98679867454439,65,0,Heat Dissipation Failure
1,301.87920479029333,309.9,1311,54.13720398840954,192,0,Heat Dissipation Failure
1,301.694492422783,310.194492422783,1333,49.28666286200425,70,0,Heat Dissipation Failure
1,302.0206746704238,310.5508433380297,1372,52.93903660561364,127,0,Heat Dissipation Failure
1,302.2301090799321,310.4397818401358,1358,51.598593745466886,49,0,Heat Dissipation Failure
1,302.3202273181742,310.81909072730315,1367,47.85386240929652,132,0,Heat Dissipation Failure
1,303.2427867565602,311.4855735131204,1252,55.9691762099267,223,0,Heat Dissipation Failure
1,302.20580376884294,310.10638414572725,1367,51.57156153266959,12,0,Heat Dissipation Failure
1,302.2203830862235,310.6097126853324,1367,48.948427896916314,203,0,Heat Dissipation Failure
1,302.3246752921435,310.2506494157129,1358,53.269263494536155,55,0,Heat Dissipation Failure
1,302.26758847851113,310.24992339497607,1306,55.02703386047012,201,0,Heat Dissipation Failure
1,302.31901298316166,310.24049350841915,1343,61.54963632319785,106,0,Heat Dissipation Failure
1,301.62866920219005,310.1327648025029,1361,55.31671916308261,69,0,Heat Dissipation Failure
1,302.4961555304318,310.9961555304318,1323,61.5980777652159,44,0,Heat Dissipation Failure
1,302.50830212509817,310.90830212509815,1329,56.21092361685357,98,0,Heat Dissipation Failure
2,302.22255818995217,310.6345877745107,1373,48.05864694362767,70,0,Heat Dissipation Failure
2,302.7,310.6444866846045,1364,45.917870511227754,10,0,Heat Dissipation Failure
1,303.0,311.1829912757388,1360,47.31085168755936,106,0,Heat Dissipation Failure
1,302.4120035492412,310.2879964507588,1311,55.12195474717435,86,0,Heat Dissipation Failure
0,302.59471110002335,310.9947111000233,1368,59.982370333411055,93,0,Heat Dissipation Failure
1,303.0580638202384,311.14451487642907,1245,58.347115145707065,217,0,Heat Dissipation Failure
1,303.15556171157147,311.55556171157144,1348,51.43551738825676,95,0,Heat Dissipation Failure
1,301.7,310.2,1315,58.21072043890988,41,0,Heat Dissipation Failure
1,302.4644255120252,310.79831913401887,1336,50.779829608226706,156,0,Heat Dissipation Failure
1,302.22773350091956,310.80966687614944,1362,44.72266499080455,68,0,Heat Dissipation Failure
0,303.07841895224897,311.2437680791232,1371,54.339209476124495,116,0,Heat Dissipation Failure
1,302.56532536864853,310.861301474594,1331,50.99254956325361,110,0,Heat Dissipation Failure
1,302.26138642229125,310.229561730208,1343,57.11117158354523,185,0,Heat Dissipation Failure
1,303.35490756667065,311.7506638722295,1371,54.47745378333532,114,0,Heat Dissipation Failure
1,303.3302594378314,311.6559080324099,1372,43.37838433529919,32,0,Heat Dissipation Failure
1,302.8581882195139,311.1109176260186,1366,53.71829384149381,145,0,Heat Dissipation Failure
1,302.0454270889401,310.49695139262667,1288,61.94682774488491,24,0,Heat Dissipation Failure
1,302.3970689333854,310.75658212553003,1348,49.09513192144605,63,0,Heat Dissipation Failure
1,302.13255200009695,310.7325520000969,1362,49.3,39,0,Heat Dissipation Failure
1,302.18664058454755,310.5866405845476,1345,48.21472872670524,109,0,Heat Dissipation Failure
2,301.9807190892601,310.46342214156147,1373,47.95964045536995,72,0,Heat Dissipation Failure
1,302.21231484195516,310.6095782104096,1334,53.19179010536321,159,0,Heat Dissipation Failure
1,302.57971135644254,310.3417090781201,1307,53.72543866114225,84,0,Heat Dissipation Failure
1,302.2951632878348,310.67865427893247,1346,49.33490991097705,63,0,Heat Dissipation Failure
1,302.41379966698236,310.34896026641417,1325,61.171077802083325,90,0,Heat Dissipation Failure
1,301.2024955364251,309.75777381015564,1339,59.31420088740762,112,0,Heat Dissipation Failure
1,302.2383707248467,310.2808146375766,1350,60.62207797331363,106,0,Heat Dissipation Failure
1,302.7665485507389,310.99542169083736,1335,58.29366405793122,185,0,Heat Dissipation Failure
1,303.21201571650965,311.46051375194594,1219,64.08411001556726,131,0,Heat Dissipation Failure
0,302.9292126003378,310.982021000563,1372,53.66291340304006,115,0,Heat Dissipation Failure
1,301.0668648689436,309.53343243447176,1342,62.4,111,0,Heat Dissipation Failure
2,302.441123960836,310.17056198041803,1326,51.2181984112217,143,0,Heat Dissipation Failure
1,303.34226582748033,311.84226582748033,1307,62.8030507221269,49,0,Heat Dissipation Failure
1,301.710264665217,310.1330793995651,1361,55.95437053130372,69,0,Heat Dissipation Failure
1,302.16941792762077,310.5495404691743,1361,53.012849091119406,67,0,Heat Dissipation Failure
1,303.0201699962631,311.3,1335,53.398300037368976,165,0,Heat Dissipation Failure
1,302.44379630486054,310.91487269053783,1327,48.79581027725074,204,0,Heat Dissipation Failure
1,302.14702143346784,310.44940428669355,1370,48.7357427983856,148,0,Heat Dissipation Failure
1,302.58895647464993,310.38343471197487,1358,57.056434170448945,66,0,Heat Dissipation Failure
1,302.304536248664,310.863710010688,1359,44.48084235838341,66,0,Heat Dissipation Failure
1,302.1285772607969,310.5028618086375,1357,56.66279648771246,107,0,Heat Dissipation Failure
1,302.66304647932793,311.1117771129413,1360,44.756346831933186,65,0,Heat Dissipation Failure
1,301.6099696577454,309.8049848288727,1344,62.4,109,0,Heat Dissipation Failure
1,303.30256322498843,311.80256322498843,1314,62.048701274780406,42,0,Heat Dissipation Failure
1,302.4,310.84732323310504,1349,46.024747475864366,149,0,Heat Dissipation Failure
1,301.9926121485354,310.10742846765345,1334,59.75542919407904,180,0,Heat Dissipation Failure
1,301.98059365767693,310.1,1360,55.2291095134846,65,0,Heat Dissipation Failure
0,302.46263459831636,310.86263459831633,1366,59.542115327721106,96,0,Heat Dissipation Failure
1,302.53918855466,310.24864915627205,1325,61.998644460755685,91,0,Heat Dissipation Failure
1,301.9458935370222,310.41857203290857,1333,53.61481621616335,111,0,Heat Dissipation Failure
1,302.52337151568616,310.527714140523,1359,53.82834669019161,67,0,Heat Dissipation Failure
1,302.5013382402013,310.9,1339,49.089478085937166,151,0,Heat Dissipation Failure
1,303.0697683665111,311.2764865072864,1335,52.620154422325946,171,0,Heat Dissipation Failure
1,303.2850093013541,311.57001860270816,1331,51.13966515125342,220,0,Heat Dissipation Failure
1,302.377986211178,310.688993105589,1360,54.09555875769662,155,0,Heat Dissipation Failure
1,302.4887696275059,310.56333020875803,1307,58.787011952514355,203,0,Heat Dissipation Failure
1,302.09504930531745,310.4950493053174,1351,53.009911470834396,108,0,Heat Dissipation Failure
1,303.3819113441001,311.7964505878267,1311,53.8014331110531,86,0,Heat Dissipation Failure
1,302.60705216525946,310.7955994093287,1370,49.63128346441519,189,0,Heat Dissipation Failure
1,301.8050974635917,310.21313718294897,1330,60.845296060377976,48,0,Heat Dissipation Failure
0,302.82505393825454,310.80842323042424,1374,52.72548544429087,114,0,Heat Dissipation Failure
1,302.1772878442578,310.0644065368815,1354,44.67491685658214,6,0,Heat Dissipation Failure
1,302.8842515714903,311.1987201250541,1334,53.54212578574518,163,0,Heat Dissipation Failure
2,302.1776187706903,310.55384331982805,1366,52.664355244824264,67,0,Heat Dissipation Failure
1,302.7,310.4443630407004,1301,55.177818479649794,20,0,Heat Dissipation Failure
1,302.38756544139846,310.69378272069923,1361,54.40209412475125,155,0,Heat Dissipation Failure
1,302.3731858048142,310.3053628390372,1373,51.226814195185725,162,0,Heat Dissipation Failure
1,301.75009693018586,309.9,1325,55.01163162230642,184,0,Heat Dissipation Failure
1,303.4,311.58748227453725,1303,57.71214903583784,49,0,Heat Dissipation Failure
1,302.28707080146495,310.45034335882804,1325,60.334667289668616,89,0,Heat Dissipation Failure
1,302.39679559860116,310.79679559860114,1331,57.16833144363698,99,0,Heat Dissipation Failure
1,301.9244721727795,310.22805902159746,1315,57.708649237571805,44,0,Heat Dissipation Failure
1,303.4,311.8443201615627,1308,56.66162100314877,64,0,Heat Dissipation Failure
1,303.27087285799047,311.541745715981,1307,47.75056992286542,221,0,Heat Dissipation Failure
1,302.2747604076865,310.86131729940286,1361,48.26488066216485,40,0,Heat Dissipation Failure
1,302.50703345297563,310.2929665470244,1319,62.4,93,0,Heat Dissipation Failure
1,302.0969452000735,310.2818328799559,1377,52.53665759911784,118,0,Heat Dissipation Failure
1,303.144491180825,311.36467620597955,1324,53.74079067773423,226,0,Heat Dissipation Failure
1,302.4358115676523,310.83209421617386,1375,48.68884794556475,26,0,Heat Dissipation Failure
1,303.12696649226046,311.62696649226046,1316,61.91348324613024,42,0,Heat Dissipation Failure
1,302.65715132114065,311.0545508407258,1324,49.709160929436024,218,0,Heat Dissipation Failure
1,301.93432430868376,310.4429053858547,1371,47.65675691316225,72,0,Heat Dissipation Failure
1,302.969526523324,310.9817159139944,1358,44.620533978128705,114,0,Heat Dissipation Failure
1,302.6154739833029,311.0077369916514,1368,59.52030651761083,93,0,Heat Dissipation Failure
1,301.7767519505536,310.2767519505536,1279,63.071145708781955,21,0,Heat Dissipation Failure
1,302.2200819185138,310.3525102398142,1350,54.01818606755304,65,0,Heat Dissipation Failure
1,302.33175858724843,310.37920684824775,1316,56.162379455256676,198,0,Heat Dissipation Failure
1,301.8395052987052,310.28683156709826,1342,50.76995287448548,63,0,Heat Dissipation Failure
1,302.2622166924174,310.7866500772521,1358,48.702266460661114,131,0,Heat Dissipation Failure
1,302.81930846114733,311.2778304940864,1262,60.45732873394493,67,0,Heat Dissipation Failure
1,302.66852996384057,310.65279494576083,1345,54.397791817331004,182,0,Heat Dissipation Failure
1,302.35511085070516,310.1730665104231,1353,45.40524621520494,169,0,Heat Dissipation Failure
2,302.57424598972005,310.8654789919229,1370,50.51123605580556,66,0,Heat Dissipation Failure
1,303.2698352463553,311.5396704927105,1364,48.877144270157906,113,0,Heat Dissipation Failure
1,302.1,310.37374252644884,1377,47.33314866624545,186,0,Heat Dissipation Failure
1,303.0897449340061,311.14988406091186,1362,46.960602883258346,30,0,Heat Dissipation Failure
1,303.28467492266316,311.3185940630563,1308,54.48843562166185,44,0,Heat Dissipation Failure
1,302.6247216914706,311.04981446098043,1354,49.882815139755515,147,0,Heat Dissipation Failure
1,302.1323116855498,310.6596103930628,1295,61.72145460345551,99,0,Heat Dissipation Failure
1,303.11270882632465,311.5127088263246,1338,52.2434129199325,94,0,Heat Dissipation Failure
1,302.3200405094185,310.78006076412777,1348,47.01953414168707,153,0,Heat Dissipation Failure
1,301.7,310.2,1320,59.24811984707895,43,0,Heat Dissipation Failure
2,303.04727098701863,311.1945419740373,1340,53.1904883742113,4,0,Heat Dissipation Failure
1,301.9277419710339,310.39445160579317,1370,51.67225802896605,153,0,Heat Dissipation Failure
1,303.1870053287007,311.1731890845919,1360,48.80477894320366,61,0,Heat Dissipation Failure
1,303.381923057684,311.76384611536804,1305,58.125766171757626,215,0,Heat Dissipation Failure
1,302.5920106312209,310.99201063122086,1329,49.263117608668296,109,0,Heat Dissipation Failure
2,302.7,310.6710971909392,1366,46.67626994176696,10,0,Heat Dissipation Failure
2,303.5632415631692,311.7632415631692,1223,65.67886767665931,155,0,Heat Dissipation Failure
2,301.83176409915166,310.2821003636192,1363,54.54185203317689,69,0,Heat Dissipation Failure
1,302.75058087805826,311.1866597181662,1319,49.92587131708744,71,0,Heat Dissipation Failure
1,302.7570926885601,311.07342996958295,1373,47.57145365571995,65,0,Heat Dissipation Failure
1,302.58471128843524,310.2,1322,61.11574822855681,91,0,Heat Dissipation Failure
1,301.6330843608626,310.1330843608626,1326,48.921239066804475,77,0,Heat Dissipation Failure
1,302.34884325718593,310.2920308979899,1345,56.3740354037188,185,0,Heat Dissipation Failure
2,303.13607309104566,311.3593608003004,1332,57.816438546273915,4,0,Heat Dissipation Failure
1,302.3998494362874,310.77488707721557,1369,47.531391153480556,69,0,Heat Dissipation Failure
1,302.5744515190687,310.8172598958132,1308,55.65109696186253,42,0,Heat Dissipation Failure
0,302.57751892713,311.07751892713,1281,63.9,42,0,Heat Dissipation Failure
1,302.6840527570481,310.98405275704806,1331,52.33621102819241,156,0,Heat Dissipation Failure
1,302.7499838291974,311.0156078185222,1330,54.1186711673372,187,0,Heat Dissipation Failure
1,302.33912416748706,310.7435033300518,1368,47.34364747784979,135,0,Heat Dissipation Failure
1,302.6705743780114,310.8352871890057,1353,45.558880690703056,112,0,Heat Dissipation Failure
1,302.652619156504,311.052619156504,1312,54.96691793698233,118,0,Heat Dissipation Failure
1,302.2,310.6,1342,50.38969998107287,160,0,Heat Dissipation Failure
1,302.3210830150307,310.1526498090184,1354,45.636635497791296,169,0,Heat Dissipation Failure
1,302.35300049780324,310.2760005430581,1356,45.46800072407744,11,0,Heat Dissipation Failure
1,303.4,311.897139534229,1298,63.84336277773455,58,0,Heat Dissipation Failure
1,302.33026397944525,310.3394720411095,1346,57.204666468670965,107,0,Heat Dissipation Failure
0,302.061969746911,310.4,1289,61.26128740434488,21,0,Heat Dissipation Failure
1,302.28790789095217,310.66593091821414,1347,47.51098848636902,108,0,Heat Dissipation Failure
1,302.346283393472,310.77447412753065,1330,50.545160650048146,111,0,Heat Dissipation Failure
1,303.5079271536862,312.03887251895077,1371,54.162653980009225,111,0,Heat Dissipation Failure
1,302.89361159458593,310.93616695675155,1358,45.66815999471427,114,0,Heat Dissipation Failure
1,303.3504828407753,311.70096568155066,1339,51.85268160401733,198,0,Heat Dissipation Failure
1,303.3655335976616,311.7701449290463,1371,54.48276679883081,113,0,Heat Dissipation Failure
1,302.5649450024893,310.40239917123046,1374,48.54261916127309,106,0,Heat Dissipation Failure
1,302.7167977166994,310.8300786300196,1358,48.10819150954869,113,0,Heat Dissipation Failure
2,303.1784748062757,311.3784748062757,1373,47.66457558117302,62,0,Heat Dissipation Failure
1,302.3700703561006,310.32992964389945,1313,55.65660295971763,86,0,Heat Dissipation Failure
1,302.97970280956616,310.98985140478305,1358,44.283725910539644,114,0,Heat Dissipation Failure
1,302.6251653094284,310.87519536568806,1330,55.52390294652082,195,0,Heat Dissipation Failure
1,302.528852199495,310.3147536658251,1377,50.05966979545544,109,0,Heat Dissipation Failure
1,303.3351579895402,311.56826324084767,1220,64.94610592678143,136,0,Heat Dissipation Failure
1,302.35797097399455,310.4362322080434,1358,50.1449232434249,63,0,Heat Dissipation Failure
1,302.3308309770527,310.3691690229473,1315,56.156905042577996,86,0,Heat Dissipation Failure
1,302.4254102539182,310.30164101567277,1343,60.64669247964422,106,0,Heat Dissipation Failure
1,302.15455079963203,310.640913099724,1326,58.7999706020239,89,0,Heat Dissipation Failure
1,302.62291174514615,310.92291174514617,1363,55.320127405341005,151,0,Heat Dissipation Failure
1,302.32977778198637,310.8044444463574,1359,48.7568888789414,38,0,Heat Dissipation Failure
2,303.3875730388643,311.51005843109147,1363,46.88225166786139,62,0,Heat Dissipation Failure
2,302.48345989819893,310.32676791855914,1358,46.044185995300886,10,0,Heat Dissipation Failure
1,302.8847748038646,311.2231832025764,1361,54.26037586505406,146,0,Heat Dissipation Failure
1,302.57575294501225,310.71398280808546,1273,55.85061445337736,24,0,Heat Dissipation Failure
