Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
1,303.2988148399707,311.5458519398975,1369,44.18022158074661,31,Heat Dissipation Failure
2,303.2888639550339,311.6666367460407,1338,48.489223002545785,207,Heat Dissipation Failure
1,301.94085100390595,310.37001247334535,1310,56.918297992188116,40,Heat Dissipation Failure
1,301.9310271829179,309.9310271829179,1374,48.453459225623156,177,Heat Dissipation Failure
1,302.61580533673384,310.6596755612231,1371,53.83079957652535,155,Heat Dissipation Failure
1,302.94361717173035,311.17489373738425,1334,52.41234060607641,166,Heat Dissipation Failure
1,302.79946528396124,311.29946528396124,1320,61.74973264198062,43,Heat Dissipation Failure
1,302.3730866518822,310.9426338802646,1360,44.152263858087956,66,Heat Dissipation Failure
1,301.2774955750353,309.6387477875176,1343,62.4,110,Heat Dissipation Failure
1,303.4,311.40491377628484,1306,54.0972927704409,44,Heat Dissipation Failure
1,302.54989915379565,310.8726539300332,1373,48.1181634825083,68,Heat Dissipation Failure
1,302.2658758538604,310.69881378079066,1348,47.64242768060522,156,Heat Dissipation Failure
1,302.3533112307406,310.2839734768887,1368,50.34284790792729,11,Heat Dissipation Failure
1,302.5831227363802,310.4064981891042,1354,44.09079436694829,10,Heat Dissipation Failure
1,303.4608189271942,311.86081892719426,1313,51.50818927194257,74,Heat Dissipation Failure
1,302.8551151187783,311.0362778202228,1335,54.182333078663234,173,Heat Dissipation Failure
1,302.8297331831921,310.9827748029397,1300,51.09590191430065,221,Heat Dissipation Failure
1,302.50904100401476,310.8983062760121,1367,54.191531380060475,149,Heat Dissipation Failure
1,302.8632296432226,311.0267389067297,1300,50.668822048911665,221,Heat Dissipation Failure
1,302.53070797707755,310.6850441604573,1328,58.58893873926366,95,Heat Dissipation Failure
1,303.1810527084683,311.37600009739316,1323,54.342736262872144,228,Heat Dissipation Failure
1,302.5649033854704,310.38741948789203,1351,42.54303137991257,9,Heat Dissipation Failure
1,303.33376820864606,311.6675364172921,1302,50.46914517472064,217,Heat Dissipation Failure
1,303.17065009910334,311.2974274348964,1308,53.329349900896645,86,Heat Dissipation Failure
1,303.308490154551,311.616980309102,1301,46.44993457360852,218,Heat Dissipation Failure
1,301.9094534991514,309.9781810708224,1336,60.07746336429524,182,Heat Dissipation Failure
1,303.02769724538035,311.15179816358693,1301,56.18417616043499,38,Heat Dissipation Failure
2,302.35682686162687,310.445385106985,1358,50.023647332448945,63,Heat Dissipation Failure
1,302.3176002390636,310.24506682604243,1375,50.37600239063629,163,Heat Dissipation Failure
1,302.33579112019396,310.6781215944381,1368,51.805705347518526,67,Heat Dissipation Failure
1,302.4,310.3668882985349,1354,48.33763299157704,163,Heat Dissipation Failure
1,302.4,310.6055193819519,1349,45.67931340278846,156,Heat Dissipation Failure
1,302.22219987783706,310.6110999389185,1349,49.11039609078614,160,Heat Dissipation Failure
0,302.2693049844122,310.3138609968824,1307,56.14752903429316,28,Heat Dissipation Failure
1,302.9682775816734,310.8628996470121,1319,58.90136297410255,89,Heat Dissipation Failure
1,302.4074991388459,310.7556243541344,1332,52.57750258346235,156,Heat Dissipation Failure
0,302.6488344935545,310.76930069613275,1276,55.12279721546914,25,Heat Dissipation Failure
1,303.35342828862474,311.7369990101867,1373,42.787578640068084,32,Heat Dissipation Failure
1,302.48720276709133,310.5332036318074,1299,55.463164719585514,224,Heat Dissipation Failure
0,303.22771765950637,311.5485059041361,1373,52.831658882655184,110,Heat Dissipation Failure
1,302.2,310.6,1345,49.27246526925373,160,Heat Dissipation Failure
1,301.8479335790408,310.3479335790408,1326,53.60495202308903,82,Heat Dissipation Failure
1,303.0322809793448,311.3,1335,53.27719020655215,166,Heat Dissipation Failure
1,303.44837847136534,311.5741892356827,1364,46.706486114538734,61,Heat Dissipation Failure
1,302.3432174990715,310.5968189573275,1323,51.51926853803021,193,Heat Dissipation Failure
1,302.7932989806575,310.8599411096986,1370,46.71362287731518,14,Heat Dissipation Failure
1,303.36271689284325,311.49161859961316,1361,47.17196468239871,62,Heat Dissipation Failure
1,301.9264595804161,309.9264595804161,1374,48.46031062937577,178,Heat Dissipation Failure
0,303.13219293718487,311.67371705433294,1366,55.59409000848218,110,Heat Dissipation Failure
1,302.45751446896463,310.8681358517234,1329,57.1336704206946,96,Heat Dissipation Failure
0,302.5207018035757,310.7103509017879,1277,56.74815741513639,24,Heat Dissipation Failure
0,302.7,310.47681706875636,1299,55.161591465621804,20,Heat Dissipation Failure
1,303.2374352324,311.6213175412572,1375,42.97018875548541,28,Heat Dissipation Failure
1,302.45441364515233,310.86581023386424,1329,57.150724951662326,95,Heat Dissipation Failure
1,302.4985288601051,310.5765748815712,1307,58.8107129459696,203,Heat Dissipation Failure
1,301.9159726429754,310.3,1338,51.82540163400481,62,Heat Dissipation Failure
1,301.6886767006098,310.1886767006098,1274,63.264911258658366,21,Heat Dissipation Failure
1,302.2060777874316,310.1707185249544,1377,49.260777874315735,164,Heat Dissipation Failure
1,301.7,310.2,1321,59.45821877818004,43,Heat Dissipation Failure
1,302.31722439193044,310.7172243919304,1332,53.1244097291131,110,Heat Dissipation Failure
0,303.55874776997797,312.12780859746135,1371,54.404051907395164,111,Heat Dissipation Failure
1,302.72234083515724,310.8418223461439,1299,52.465154351745,222,Heat Dissipation Failure
1,302.68144721289116,310.3466049832041,1323,61.626251477533984,91,Heat Dissipation Failure
1,303.243501459434,311.48700291886803,1313,50.24136719150397,224,Heat Dissipation Failure
1,302.6658759218661,311.0536724511663,1328,51.183166160060296,202,Heat Dissipation Failure
1,303.49091440995767,311.89091440995765,1312,51.80914409957657,76,Heat Dissipation Failure
1,303.1598505960582,311.5731922296106,1317,50.53977589408734,70,Heat Dissipation Failure
1,302.670027917632,311.11584961861865,1360,44.77089149506671,65,Heat Dissipation Failure
1,302.54598615568585,311.04349192415003,1360,44.512471157678824,65,Heat Dissipation Failure
0,302.7,310.73465822010274,1279,55.03267088994863,24,Heat Dissipation Failure
1,303.22086261747035,311.44172523494075,1325,53.44894577106645,226,Heat Dissipation Failure
1,302.2600670310661,310.80186083795115,1324,46.42419089336497,210,Heat Dissipation Failure
1,303.11569134284775,311.3911168552275,1336,57.31606424002629,186,Heat Dissipation Failure
1,302.56617288589234,310.60771610736543,1274,56.18456778526907,210,Heat Dissipation Failure
1,302.4663695019962,310.313095601597,1358,46.379157760873525,10,Heat Dissipation Failure
1,303.0826169989874,311.3253017266283,1324,53.22892244616858,225,Heat Dissipation Failure
1,301.36071038918885,309.6803551945944,1343,62.4,110,Heat Dissipation Failure
1,302.3943996735161,310.2867999591895,1324,58.3547995510846,53,Heat Dissipation Failure
1,302.1797301085264,310.76254869545875,1360,46.027406741983256,67,Heat Dissipation Failure
1,302.83908206347115,311.0260547089808,1299,57.29071856096895,35,Heat Dissipation Failure
1,302.9473048983438,311.0849442566697,1371,53.85585557175512,117,Heat Dissipation Failure
1,303.03140445923594,311.1864456483656,1244,55.82512759621854,226,Heat Dissipation Failure
1,302.96548370902315,311.18520730386706,1373,47.99290225413874,65,Heat Dissipation Failure
1,303.3257479216492,311.8257479216492,1310,62.48921051133569,46,Heat Dissipation Failure
1,303.13720623940753,311.4779046795557,1304,45.1,217,Heat Dissipation Failure
1,302.4520096080505,310.17801441207575,1358,55.27612490465633,62,Heat Dissipation Failure
1,302.1925290278595,310.5925290278595,1333,57.69942452756535,104,Heat Dissipation Failure
1,303.07149139203557,311.27719311362847,1335,52.56578967044268,170,Heat Dissipation Failure
1,302.28443591032743,310.2402854864148,1308,61.09724947553312,228,Heat Dissipation Failure
1,302.0660104857268,310.3669947571366,1355,58.726115342994966,107,Heat Dissipation Failure
2,302.32896484992875,310.6682812005699,1359,47.07027409244928,65,Heat Dissipation Failure
1,303.2087446781047,311.26499624336805,1307,54.382510643790546,43,Heat Dissipation Failure
1,302.84155224382437,311.035920406374,1367,55.22290550358361,149,Heat Dissipation Failure
1,302.4624505592205,310.31003955262366,1325,61.49217369085489,90,Heat Dissipation Failure
1,302.3413382295079,310.513516660109,1335,59.48425295737776,183,Heat Dissipation Failure
0,302.359038026357,310.59542281581423,1287,55.81830873674317,30,Heat Dissipation Failure
1,302.5997672263265,310.89837058428526,1330,51.99674116857052,153,Heat Dissipation Failure
1,302.4472897041006,310.1736448520503,1326,51.15345810694323,144,Heat Dissipation Failure
1,303.4,311.5395652353871,1304,56.76339166066527,48,Heat Dissipation Failure
0,302.6098739322311,310.3653361277812,1301,55.80315137660714,20,Heat Dissipation Failure
1,300.8295732855636,309.4246444046363,1342,62.29156461960018,112,Heat Dissipation Failure
2,302.6360267854478,310.8753645830225,1334,55.84450148973834,169,Heat Dissipation Failure
0,303.1648041655585,311.47467360926413,1363,49.522715264848856,107,Heat Dissipation Failure
2,303.3181892887052,311.70182714644625,1339,48.096263531350324,208,Heat Dissipation Failure
2,302.39233179319154,310.2948878621277,1375,52.39008903574545,161,Heat Dissipation Failure
1,301.90487961616867,310.39268057574697,1370,51.61460671704829,153,Heat Dissipation Failure
1,301.84569373029655,309.9326383787832,1334,60.614867130357865,182,Heat Dissipation Failure
1,302.11494291640463,310.0574714582023,1345,62.4,107,Heat Dissipation Failure
2,302.1353690066343,310.03536900663426,1359,47.398985431227025,8,Heat Dissipation Failure
1,302.7,310.6294684268746,1362,45.48985016592662,10,Heat Dissipation Failure
1,302.9101550513697,311.1614950220156,1372,47.66093030821828,65,Heat Dissipation Failure
1,301.83992513342173,310.17985026684346,1319,47.635729949138046,194,Heat Dissipation Failure
1,301.61401393551904,310.1,1361,55.77897909672149,69,Heat Dissipation Failure
1,303.06772785430917,311.23245528212493,1321,55.19645016420425,228,Heat Dissipation Failure
1,302.18043466959756,310.34391306608046,1372,51.41956533040243,158,Heat Dissipation Failure
1,302.01997398664304,310.419973986643,1335,58.14806763472808,109,Heat Dissipation Failure
1,302.1811467450001,310.58114674500007,1333,57.72901846299973,105,Heat Dissipation Failure
1,302.23472193767986,310.5305561246402,1348,47.82708802828183,162,Heat Dissipation Failure
1,302.6716490116117,311.03134919131867,1366,54.85674595659325,148,Heat Dissipation Failure
1,302.48088421450973,310.7512123867127,1319,57.89272567972351,45,Heat Dissipation Failure
0,301.47163199570645,309.9495913816429,1259,63.4095963370864,20,Heat Dissipation Failure
1,302.11344736391163,310.52806841834695,1366,53.02337365625224,153,Heat Dissipation Failure
1,302.93451246985893,310.82831745780254,1356,44.09822220461763,18,Heat Dissipation Failure
1,301.63572223355294,310.13572223355294,1326,48.97874469145392,77,Heat Dissipation Failure
1,301.37426223426854,309.68713111713424,1343,62.4,110,Heat Dissipation Failure
1,302.53116529166545,310.68184295834175,1328,58.61409104160057,95,Heat Dissipation Failure
1,302.1050636528901,310.50506365289016,1341,52.57909457037728,109,Heat Dissipation Failure
1,301.7264221231288,309.5792663693866,1299,64.15247172042794,227,Heat Dissipation Failure
1,303.3753114120847,311.7561091770396,1315,50.985038469485815,69,Heat Dissipation Failure
1,302.27201198038614,310.6360059901931,1353,50.704383372356645,158,Heat Dissipation Failure
2,302.3522132645087,310.48229388393054,1358,49.53460603792076,63,Heat Dissipation Failure
1,302.2578864103052,310.27105679484737,1349,60.836750513357536,106,Heat Dissipation Failure
1,302.91748826988385,310.7714788857908,1319,59.3838614361039,90,Heat Dissipation Failure
2,303.2311160791648,311.59733929499777,1337,49.263044539191725,206,Heat Dissipation Failure
1,302.7722578484233,311.1007256173704,1338,52.119676014751505,163,Heat Dissipation Failure
1,301.7,310.2,1316,58.4189442725253,41,Heat Dissipation Failure
1,301.91566848116406,310.1315668481164,1325,52.68249243252974,81,Heat Dissipation Failure
1,302.4373743844519,310.8373743844519,1330,57.06282660042507,98,Heat Dissipation Failure
1,303.2688980056308,311.53779601126155,1317,56.54253219144643,223,Heat Dissipation Failure
0,303.57612172359865,312.16020287266434,1370,54.321420108650436,111,Heat Dissipation Failure
1,302.279304700657,310.2195364671047,1376,49.99304700657038,164,Heat Dissipation Failure
1,302.60424329211867,310.4954561727226,1324,58.95606440301928,53,Heat Dissipation Failure
1,302.5982510665393,310.4200846368814,1323,58.00874466730335,53,Heat Dissipation Failure
2,302.144903776037,310.044903776037,1360,48.01874544240475,8,Heat Dissipation Failure
1,302.8511644258557,311.22151258174915,1360,45.14825922053269,64,Heat Dissipation Failure
1,303.038484591504,311.2307876732032,1372,48.06915238888637,64,Heat Dissipation Failure
1,302.4,310.5683060101772,1365,53.614754091594925,157,Heat Dissipation Failure
1,302.1714962318509,310.52850376814916,1322,58.188423043901516,87,Heat Dissipation Failure
1,303.1106898907906,311.53515539625107,1313,51.750121243357846,83,Heat Dissipation Failure
1,302.87917079347,310.93195132245006,1321,55.298113299586426,60,Heat Dissipation Failure
1,302.36776786735305,310.2644642652939,1350,45.631830188674606,166,Heat Dissipation Failure
1,302.92627228059735,311.16483251442855,1336,52.55552397512945,164,Heat Dissipation Failure
1,302.3568200197358,310.1756820019736,1325,58.946844280247994,88,Heat Dissipation Failure
1,302.62585595181207,310.8359700787203,1335,58.687603334926266,184,Heat Dissipation Failure
1,302.9882575343006,311.2652547945549,1324,52.44831232921398,224,Heat Dissipation Failure
1,303.13699397737673,311.63699397737673,1314,61.53135768495804,41,Heat Dissipation Failure
1,303.2822241002784,311.5733361504176,1336,56.42670610584622,185,Heat Dissipation Failure
1,303.4641015008464,311.5820507504232,1363,46.643593996614314,61,Heat Dissipation Failure
1,302.4,310.58001745090155,1359,52.472338547490786,158,Heat Dissipation Failure
1,303.44148041742426,311.56586357683085,1360,46.37808420296715,62,Heat Dissipation Failure
2,302.184372879271,310.08437287927103,1365,50.58423715261667,11,Heat Dissipation Failure
1,301.8123911848189,310.3123911848189,1296,60.43456199011093,29,Heat Dissipation Failure
1,302.87119756164793,310.7396765863071,1355,43.47773610414971,16,Heat Dissipation Failure
0,302.1535236389746,310.47211418338475,1294,56.3115432664609,33,Heat Dissipation Failure
1,301.85530051263004,309.7101124582642,1298,65.088910407744,227,Heat Dissipation Failure
1,303.35132930987044,311.702658619741,1289,59.442537915855354,217,Heat Dissipation Failure
0,302.29121753844413,310.6912175384441,1356,56.54391230777926,103,Heat Dissipation Failure
1,302.04256712593514,310.1612261356224,1334,59.432643186265395,180,Heat Dissipation Failure
1,303.2247071200924,311.5247071200924,1335,56.216480180715955,189,Heat Dissipation Failure
1,302.5184248651573,310.77102594389913,1329,57.91336758364971,96,Heat Dissipation Failure
1,301.7171007162656,309.5228009550208,1298,65.04968113833972,227,Heat Dissipation Failure
1,303.0877984493717,311.48779844937167,1338,52.43273178477519,94,Heat Dissipation Failure
1,302.64368664017036,310.4554429158584,1308,53.505079350524376,83,Heat Dissipation Failure
1,303.2860014288101,311.5790021432152,1337,56.77025303622143,187,Heat Dissipation Failure
1,302.5852986065086,310.42450232248564,1359,56.55313868637919,67,Heat Dissipation Failure
1,303.1854459446626,311.4281689169939,1336,54.39436483791483,178,Heat Dissipation Failure
1,301.78339482246326,310.21949568538605,1337,58.95811812137858,110,Heat Dissipation Failure
1,302.23663055471565,310.16930444377255,1374,50.31780499546469,168,Heat Dissipation Failure
2,302.98534704107306,311.0105398416692,1367,49.85218511129637,60,Heat Dissipation Failure
1,302.6247495532542,311.18438420300384,1366,46.191868030725175,38,Heat Dissipation Failure
1,302.56289355543794,310.39031484435037,1355,44.48728631341664,10,Heat Dissipation Failure
1,302.0053216732155,310.4053216732155,1356,57.720612156184316,108,Heat Dissipation Failure
1,302.31181718551875,310.8323857409492,1326,47.377034744326274,205,Heat Dissipation Failure
0,302.40051993035314,310.6502599651766,1279,57.91993067905666,23,Heat Dissipation Failure
1,302.37079040151093,310.87079040151093,1312,59.328522404343964,40,Heat Dissipation Failure
1,302.8866946063869,311.3866946063869,1319,61.79334730319346,43,Heat Dissipation Failure
1,302.81284625634305,311.04789242385544,1336,58.16403048223944,185,Heat Dissipation Failure
1,302.0294111810853,310.5294111810853,1327,61.36470559054266,45,Heat Dissipation Failure
1,302.2237594765283,310.1590075812227,1374,50.248301173252955,168,Heat Dissipation Failure
1,302.5126110141679,310.2,1309,55.05932519010045,86,Heat Dissipation Failure
1,302.58701429865823,310.2908999093925,1325,61.68578642620165,92,Heat Dissipation Failure
1,302.75239149271306,310.91429361953476,1291,57.20566211107026,36,Heat Dissipation Failure
1,302.5141399893017,310.2,1309,55.18775910134701,86,Heat Dissipation Failure
1,302.48509303354444,310.8888197751583,1329,56.98198831550549,96,Heat Dissipation Failure
1,302.7911818293044,311.1398429822846,1324,50.81795876969995,220,Heat Dissipation Failure
1,302.3631797353278,310.2736405293444,1346,59.65689028192174,106,Heat Dissipation Failure
1,303.1309594472817,311.6309594472817,1316,61.91547972364086,42,Heat Dissipation Failure
1,302.88771058292207,311.1877105829221,1364,55.937991360151464,147,Heat Dissipation Failure
1,302.11062176181997,310.068497409456,1374,49.637357513828,172,Heat Dissipation Failure
1,302.37634299579724,310.1381714978986,1324,51.89839854412882,139,Heat Dissipation Failure
1,302.45297653787173,310.9655613733736,1363,44.917859227230224,66,Heat Dissipation Failure
1,303.0890168316803,311.28901683168027,1373,47.93294950495921,63,Heat Dissipation Failure
2,303.0179040781417,311.25168737928414,1339,56.03140311241487,2,Heat Dissipation Failure
1,302.66627165672406,310.47189304727004,1351,41.9855058880176,9,Heat Dissipation Failure
1,303.1504958726507,311.37574380897604,1336,53.66041332566468,175,Heat Dissipation Failure
2,302.1850852757322,310.08508527573224,1366,50.63054292259362,11,Heat Dissipation Failure
1,303.0569324787708,311.1424784617875,1245,58.37698256044975,217,Heat Dissipation Failure
1,301.9595527260068,310.1359552726007,1325,53.30564870929581,82,Heat Dissipation Failure
1,302.7973406978609,311.2973406978609,1313,60.554854506349926,41,Heat Dissipation Failure
2,302.15463761357285,310.6504347202211,1325,58.75536274515613,87,Heat Dissipation Failure
1,303.25654935583384,311.54317992685964,1301,45.5177946554438,218,Heat Dissipation Failure
1,302.5579792843833,310.2,1317,58.87025988819682,89,Heat Dissipation Failure
1,302.5833496452951,310.7834475170653,1330,51.76689503413068,153,Heat Dissipation Failure
1,302.0438898974114,310.3712220205177,1371,51.93022383585828,155,Heat Dissipation Failure
1,302.80652068823946,311.1416987449232,1365,55.40849372461602,147,Heat Dissipation Failure
1,302.4,310.39415330475936,1371,53.04138150236622,159,Heat Dissipation Failure
1,302.5090067023268,311.0090067023268,1322,61.604503351163395,44,Heat Dissipation Failure
1,302.2170330100006,310.60851650500035,1349,48.94505632001998,160,Heat Dissipation Failure
1,302.7306285022816,311.094142813926,1328,51.879256399527456,201,Heat Dissipation Failure
1,301.472120010559,309.972120010559,1262,63.74133597677008,20,Heat Dissipation Failure
1,301.9687162177022,310.3,1337,52.428185345167755,61,Heat Dissipation Failure
1,302.10061953233395,310.2501858597002,1360,56.5008673452675,68,Heat Dissipation Failure
1,301.77642977523647,310.2676082864747,1324,48.61460997180568,77,Heat Dissipation Failure
1,302.8387239871242,311.0827083542721,1373,48.170677088568034,66,Heat Dissipation Failure
2,302.3645927893023,310.38325768558155,1358,50.846835666044214,63,Heat Dissipation Failure
1,302.4,310.39315165846074,1371,52.038364926146535,161,Heat Dissipation Failure
1,302.06864791426966,310.06864791426966,1378,48.247028128595495,168,Heat Dissipation Failure
1,303.2834294151573,311.4301729472831,1314,55.90742055600593,87,Heat Dissipation Failure
1,303.4,311.6968423099543,1301,59.877477737096456,52,Heat Dissipation Failure
1,302.32837922085366,310.27741372918115,1345,56.54651799566225,185,Heat Dissipation Failure
1,303.4,311.5547312882231,1304,57.0636795068172,48,Heat Dissipation Failure
1,301.46243401234136,309.95202834361777,1338,60.0814809568052,111,Heat Dissipation Failure
1,303.12164150289914,311.3216415028991,1373,47.835075491302625,62,Heat Dissipation Failure
1,302.4888626247766,310.3920447319832,1348,55.193872162597565,186,Heat Dissipation Failure
1,303.3292248956739,311.6584497913479,1302,49.74675841215627,217,Heat Dissipation Failure
1,303.3294817238347,311.65896344766935,1302,49.78759408971359,217,Heat Dissipation Failure
1,303.1772741044143,311.34181928353144,1369,47.59726804499137,63,Heat Dissipation Failure
1,302.37416236748385,310.7306217756129,1332,52.67751289754839,156,Heat Dissipation Failure
1,302.7,310.64953545114724,1364,46.06176035769665,10,Heat Dissipation Failure
1,302.2169420119241,310.5661159761517,1346,48.76217988834882,108,Heat Dissipation Failure
1,302.15941133891977,310.55941133891974,1334,55.649418577283875,110,Heat Dissipation Failure
1,302.3479078657801,310.48958157315604,1371,46.325105610638836,144,Heat Dissipation Failure
1,301.87590760819916,310.3241700763759,1310,57.04818478360161,40,Heat Dissipation Failure
1,302.7,310.56868745952005,1357,43.75759259632198,10,Heat Dissipation Failure
1,303.241875381345,311.2883826221259,1307,54.31624923730997,43,Heat Dissipation Failure
1,301.7181246068788,310.2349995507186,1361,53.80875662690089,69,Heat Dissipation Failure
1,301.9619923521191,310.36832696009924,1356,58.139361375563276,108,Heat Dissipation Failure
2,302.89240497562605,310.8659632954183,1366,50.60604853103324,60,Heat Dissipation Failure
1,303.3891430216882,311.7782860433764,1306,60.630862737398964,215,Heat Dissipation Failure
1,303.1768200436301,311.57682004363005,1339,51.75616766841164,94,Heat Dissipation Failure
0,302.34920656506324,310.7492065650632,1356,56.25396717468388,103,Heat Dissipation Failure
1,303.2376605049834,311.4753210099668,1327,52.844221820596836,224,Heat Dissipation Failure
1,301.7,310.2,1317,58.55419317565538,42,Heat Dissipation Failure
0,302.40930174092625,310.26511218648386,1346,61.75817987608754,105,Heat Dissipation Failure
1,302.61509437307467,310.515801949515,1324,59.003537882201655,53,Heat Dissipation Failure
1,301.87326230824254,309.9523302201732,1335,60.38250340195576,182,Heat Dissipation Failure
1,302.750173393136,310.88099597563934,1303,50.38679429676947,209,Heat Dissipation Failure
1,303.3977891881288,311.5182313505031,1363,46.847516760362105,62,Heat Dissipation Failure
1,302.7,310.6717232891567,1366,46.69411374096686,10,Heat Dissipation Failure
1,303.16542322028977,311.57845526360705,1317,50.54813483043469,70,Heat Dissipation Failure
1,302.6278852605792,310.7418278908688,1371,48.03428949517331,19,Heat Dissipation Failure
1,302.2197182981968,310.2577463855745,1370,51.14647914147345,16,Heat Dissipation Failure
0,302.1561760609744,310.5756980685962,1358,57.66812587042943,108,Heat Dissipation Failure
1,301.83347886256445,310.21668485782055,1313,57.58353343602614,42,Heat Dissipation Failure
2,302.37626860412325,310.9457611624739,1360,44.25168639360664,66,Heat Dissipation Failure
2,302.3821471252776,310.24282299777906,1358,52.70759527942762,62,Heat Dissipation Failure
1,303.07512252517387,311.35215480635145,1360,45.614838594112264,63,Heat Dissipation Failure
1,302.1311641534655,310.5311641534655,1349,51.113881943062374,108,Heat Dissipation Failure
1,303.03727567366803,311.437275673668,1337,52.816704880122906,94,Heat Dissipation Failure
1,302.26457514730345,310.47084970539305,1346,52.3108484741098,108,Heat Dissipation Failure
1,302.26346576950743,310.47306846098513,1348,47.3528148031271,163,Heat Dissipation Failure
1,302.768847825602,310.946088234638,1303,62.67069693223003,220,Heat Dissipation Failure
1,302.4,310.33305068426864,1353,47.68118327481189,164,Heat Dissipation Failure
0,303.5375897267795,312.12978844262693,1370,54.73262183059358,111,Heat Dissipation Failure
1,302.2,310.6,1340,51.01327944644748,159,Heat Dissipation Failure
1,303.31090261153093,311.75638955387626,1314,61.12779107752563,42,Heat Dissipation Failure
1,301.9861005482963,310.2708491775556,1373,50.19324040481502,158,Heat Dissipation Failure
1,301.9681743332769,310.4681743332769,1328,61.334087166638476,46,Heat Dissipation Failure
1,302.99497460577675,311.29497460577676,1364,56.188274080145725,146,Heat Dissipation Failure
1,302.28180810206914,310.198169722483,1368,50.92917356303307,11,Heat Dissipation Failure
0,302.5157556526006,311.0232889443432,1365,50.80413441469254,134,Heat Dissipation Failure
1,301.73714678684996,310.23714678684996,1277,63.15827706892997,21,Heat Dissipation Failure
1,302.8839643578866,311.18997772367914,1329,53.527616847281195,200,Heat Dissipation Failure
2,303.39280036697636,311.7913604403717,1340,47.096475082516235,209,Heat Dissipation Failure
1,301.9506571106207,310.2313321388276,1329,60.35403225165515,49,Heat Dissipation Failure
1,302.90766224962135,311.03457781202667,1255,55.33084437594658,218,Heat Dissipation Failure
1,302.91942233525225,311.21942233525226,1334,53.27768934100896,161,Heat Dissipation Failure
1,303.07156503894674,311.2394562986834,1245,54.92108740263311,222,Heat Dissipation Failure
2,303.1026293737545,311.19297902584026,1369,48.90089507954711,60,Heat Dissipation Failure
1,301.72572542619747,310.19878426344087,1363,55.11749054349969,69,Heat Dissipation Failure
1,303.36171666052314,311.55313335790737,1310,57.062667158147484,43,Heat Dissipation Failure
1,301.99549176401354,310.2369364705017,1329,60.20271529645432,49,Heat Dissipation Failure
1,302.55478590185476,310.58272880901603,1263,59.28855577985541,227,Heat Dissipation Failure
1,302.27510602199527,310.4248939780048,1317,56.86739821956055,87,Heat Dissipation Failure
1,302.0620741778216,310.4620741778216,1353,54.74110566436474,108,Heat Dissipation Failure
1,303.24757407590994,311.4951481518199,1319,55.817518580937794,224,Heat Dissipation Failure
1,303.5361765641665,311.8851178154997,1310,53.5063226404182,86,Heat Dissipation Failure
1,302.55332422668897,310.3651740548421,1324,58.23337886655507,54,Heat Dissipation Failure
1,302.6398250279,310.5621719273124,1324,59.111734497062265,52,Heat Dissipation Failure
0,302.3876794452404,310.9501025401374,1365,49.37699953267878,132,Heat Dissipation Failure
1,302.63128427928643,310.48882541443015,1330,51.387705675718635,152,Heat Dissipation Failure
1,302.7781211407593,310.6551073212425,1307,53.72187885924068,86,Heat Dissipation Failure
1,302.6663576935392,310.6596292322471,1368,47.77586691297821,11,Heat Dissipation Failure
1,301.8196008199347,310.3196008199347,1370,50.09037868169815,72,Heat Dissipation Failure
0,301.514129292184,309.9790125868966,1260,63.11865330735558,20,Heat Dissipation Failure
1,302.1266357349792,310.52663573497915,1350,51.351623913594395,108,Heat Dissipation Failure
1,302.90473826262854,310.9931601269877,1340,50.50790995673404,170,Heat Dissipation Failure
1,302.5542914106654,310.5571523511091,1372,53.451463699103655,157,Heat Dissipation Failure
1,302.7122447377701,311.01224473777006,1332,52.448978951080285,156,Heat Dissipation Failure
1,302.0859392468611,310.5859392468611,1326,58.79347558157063,87,Heat Dissipation Failure
1,302.2251928074638,310.6251928074638,1333,54.596915080579066,110,Heat Dissipation Failure
1,302.28522064689497,310.4225453120407,1334,57.86472812775558,178,Heat Dissipation Failure
1,302.7730482827707,310.7730482827707,1368,47.383122747566944,13,Heat Dissipation Failure
1,303.04600714889386,311.1345053616704,1298,55.752264612975345,39,Heat Dissipation Failure
1,302.8884718310693,311.13547809083167,1335,52.74101877928715,168,Heat Dissipation Failure
1,302.3390875548726,310.70431566615446,1342,49.651787993853596,158,Heat Dissipation Failure
1,302.94571685683286,310.9293548566356,1307,53.55428314316714,86,Heat Dissipation Failure
1,302.3443520449746,310.7635607640701,1367,53.51780382035059,150,Heat Dissipation Failure
0,302.17192088420626,310.59341099473204,1358,57.634668121061715,108,Heat Dissipation Failure
1,301.71353023993726,310.20169127999213,1330,61.15433544021166,47,Heat Dissipation Failure
1,302.1361742290479,310.62713067178595,1326,58.901041740236664,88,Heat Dissipation Failure
1,303.2269630008767,311.4539260017534,1254,52.03851491671176,224,Heat Dissipation Failure
1,302.2721291988878,310.6540968991659,1333,52.98361240333655,158,Heat Dissipation Failure
1,301.6001949098584,310.1001949098584,1362,55.79493234368316,70,Heat Dissipation Failure
1,302.7674256162012,311.0308549936009,1373,48.15771374840022,66,Heat Dissipation Failure
1,302.5674146294083,310.54089755529,1368,48.58720003885176,11,Heat Dissipation Failure
1,302.56628597876346,310.4359981486557,1326,60.54572883199066,93,Heat Dissipation Failure
1,302.4207308192396,310.72073081923963,1362,54.84837191155913,154,Heat Dissipation Failure
